sample	unit	platform	fq1	fq2
2000-24	L8	BGI	raw/2000-24_L8_R1.fastq.gz	raw/2000-24_L8_R2.fastq.gz
2000-24	L1	BGI	raw/2000-24_L1_R1.fastq.gz	raw/2000-24_L1_R2.fastq.gz
IFR4	L8	BGI	raw/IFR4_L8_R1.fastq.gz	raw/IFR4_L8_R2.fastq.gz
IFR4	L1	BGI	raw/IFR4_L1_R1.fastq.gz	raw/IFR4_L1_R2.fastq.gz
PP118-2004	L8	BGI	raw/PP118-2004_L8_R1.fastq.gz	raw/PP118-2004_L8_R2.fastq.gz
PP118-2004	L1	BGI	raw/PP118-2004_L1_R1.fastq.gz	raw/PP118-2004_L1_R2.fastq.gz
PP30-2002	L8	BGI	raw/PP30-2002_L8_R1.fastq.gz	raw/PP30-2002_L8_R2.fastq.gz
PP30-2002	L1	BGI	raw/PP30-2002_L1_R1.fastq.gz	raw/PP30-2002_L1_R2.fastq.gz
PP79-2003	L1	BGI	raw/PP79-2003_L1_R1.fastq.gz	raw/PP79-2003_L1_R2.fastq.gz
PP79-2003	L8	BGI	raw/PP79-2003_L8_R1.fastq.gz	raw/PP79-2003_L8_R2.fastq.gz
RIM100	L1	BGI	raw/RIM100_L1_R1.fastq.gz	raw/RIM100_L1_R2.fastq.gz
RIM100	L8	BGI	raw/RIM100_L8_R1.fastq.gz	raw/RIM100_L8_R2.fastq.gz
RIM156	L1	BGI	raw/RIM156_L1_R1.fastq.gz	raw/RIM156_L1_R2.fastq.gz
RIM156	L8	BGI	raw/RIM156_L8_R1.fastq.gz	raw/RIM156_L8_R2.fastq.gz
RIM99	L1	BGI	raw/RIM99_L1_R1.fastq.gz	raw/RIM99_L1_R2.fastq.gz
RIM99	L8	BGI	raw/RIM99_L8_R1.fastq.gz	raw/RIM99_L8_R2.fastq.gz
SV276	L1	BGI	raw/SV276_L1_R1.fastq.gz	raw/SV276_L1_R2.fastq.gz
SV276	L8	BGI	raw/SV276_L8_R1.fastq.gz	raw/SV276_L8_R2.fastq.gz
U64	L1	BGI	raw/U64_L1_R1.fastq.gz	raw/U64_L1_R2.fastq.gz
U64	L8	BGI	raw/U64_L8_R1.fastq.gz	raw/U64_L8_R2.fastq.gz
U75	L1	BGI	raw/U75_L1_R1.fastq.gz	raw/U75_L1_R2.fastq.gz
U75	L8	BGI	raw/U75_L8_R1.fastq.gz	raw/U75_L8_R2.fastq.gz
U93	L1	BGI	raw/U93_L1_R1.fastq.gz	raw/U93_L1_R2.fastq.gz
U93	L8	BGI	raw/U93_L8_R1.fastq.gz	raw/U93_L8_R2.fastq.gz
